Address,Quadrant,Profit_Factor,Average_Leverage,Total_PnL,Win_Rate,Liq_Loss_Ratio,Total_Account_Value,Avg_Duration_Min,Orders_30d,Orders_Per_Day,Duration_Ratio,Liq_Loss_Ratio_Detail,Top_Coins_Vol_Ratio,Liquidations_60d,Avg_PV
0x4ddc284681c4291b6db64a6fdb5b2d10d40d1bf4,Q2: 爆破敢死队,0.0474,20.8,-92438.47,10.53%,0.1044,15529.5,2439.07,56,1.87,26.5081,0.1044,0.999,2,211086.53
0x1c24babdcd20acdc45baf4f64894388533299066,Q2: 爆破敢死队,0.0,16.25,-2331681.83,0.00%,0.0294,0.16,3409.94,56,1.87,0.0,0.0294,0.9784,1,10923138.99
0xae0bb9c27119e1083461082a6045dd52f469ce52,Q2: 爆破敢死队,0.0426,16.44,-13061.57,20.00%,0.8979,5585.92,1244.34,52,1.73,76.0577,0.8979,0.9745,9,17258.82
0x4427b69a5120fe93565f37e201f97497f2c0b251,Q2: 爆破敢死队,0.0327,29.67,-40977.47,18.75%,0.0371,143.63,1729.08,51,1.7,2.0863,0.0371,0.9714,2,103802.52
0x31e19636159515a42dcbb9c48ffa30b256f10811,Q2: 爆破敢死队,0.1441,19.71,-11790.82,25.71%,0.2791,3.06,1965.57,49,1.63,0.8477,0.2791,0.8947,7,38540.72
0x592155f299bc4d1c25f97e6e9e58d747e57f8a40,Q2: 爆破敢死队,0.0686,40.0,-31243.16,8.14%,0.748,3.58,2381.86,49,1.63,0.0804,0.748,0.9915,20,27844.03
0x0b18b2a793d0c57bd37a1f3a040d817716b0a2d9,Q2: 爆破敢死队,0.0192,14.85,-21363.69,11.54%,0.1895,4382.04,6780.46,48,1.6,6.042,0.1895,0.8,6,27156.48
0x5ca0252bf42c4cea44e4bebc9dd4dcf1edb41d92,Q2: 爆破敢死队,0.0,11.52,-35526.36,0.00%,0.9997,1142.98,14313.85,46,1.53,0.0,0.9997,0.9246,4,129334.62
0xc007f954b5ab645fc7cf81c083fd0e2d3cecf59a,Q2: 爆破敢死队,0.2424,21.96,-122468.54,21.09%,0.1048,76.4,3599.44,45,1.5,0.8501,0.1048,0.9925,7,36544.58
0x99fdd967d1d758c01e7957c76ad2fa004e8e17c2,Q2: 爆破敢死队,0.1068,19.6,-15892.73,25.00%,0.5416,5957.61,7811.21,45,1.5,1.68,0.5416,0.8637,8,33457.58
0xa74c95115cf38e0b684db5589bd13ad76ac846ed,Q2: 爆破敢死队,0.2676,11.93,-22620.98,21.74%,0.2871,10823.11,8500.44,44,1.47,0.2118,0.2871,0.8,2,67509.66
0x532cc1bbb80ca0d3e9b63619ba789df1b0b23cc1,Q2: 爆破敢死队,0.0217,19.5,-115566.97,12.50%,1.6751,13968.59,27680.22,44,1.47,0.161,1.6751,0.9347,15,51856.43
0xf7a45f68f159885b3bf31fc800298c614dedc532,Q2: 爆破敢死队,0.006,20.67,-11402.59,10.00%,1.0129,1.79,545.73,43,1.43,1.095,1.0129,0.997,15,13841.64
0xa2b8954f16ff74f356c0e6c0efa2a9bc26486241,Q2: 爆破敢死队,0.0539,12.4,-10965.44,13.33%,0.678,698.07,3175.69,41,1.37,0.4435,0.678,0.814,6,18102.88
0x2de0643f5bccb10ccc9d19d156deaa97d9b02575,Q2: 爆破敢死队,0.2128,26.14,-39355.83,18.18%,0.1529,7.17,4496.32,38,1.27,0.152,0.1529,0.9967,8,154020.97
0x121acb29e168cc9e97dbd7b280ee8baf2cb34c6e,Q2: 爆破敢死队,0.0441,16.67,-893799.96,7.69%,0.3775,18963.87,44377.64,38,1.27,11.7657,0.3775,0.958,37,429387.34
0x0b408caf6a4dce2ac0be3b0f0163bef72967eae9,Q2: 爆破敢死队,0.0024,28.33,-53528.78,5.88%,0.364,17.59,18961.43,38,1.27,1.8419,0.364,0.896,12,21545.77
0xd7f6b9f3af132dfceb4914f62b62b16083f19b3b,Q2: 爆破敢死队,0.2085,40.0,-13583.42,24.49%,0.1368,1408.36,2329.49,37,1.23,0.4483,0.1368,0.9956,2,26692.47
